booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,status,total_room_revenue,commission_amount,net_room_revenue,number_of_rooms,adults_count,children_count,review_flag,review_reason,revenue_validated,total_revenue_rounded,commission_rounded,net_revenue_rounded,checkin_day_name,checkin_is_weekend,checkin_is_holiday,checkin_season,net_realized_revenue,True_Room_Revenue,Penalty_Revenue
RES-10002,GST-7513,45651,45658,45659,RT_STD,RC_CORP,CH_EXP,SEG_LEI,Checked-Out,1931.16,347.61,1583.55,1,1,0,OK,,PASS,1931.16,347.61,1583.55,Wednesday,FALSE,TRUE,High Season,1931.16,1931.16,0
RES-10003,GST-7318,45630,45658,45661,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,5925.15,888.77,5036.38,1,2,0,OK,,PASS,5925.15,888.77,5036.38,Wednesday,FALSE,TRUE,High Season,5925.15,5925.15,0
RES-10004,GST-8515,45635,45658,45659,RT_STD,RC_PROMO,CH_WLK,SEG_LEI,Checked-Out,2079,0,2079,1,1,1,OK,,PASS,2079,0,2079,Wednesday,FALSE,TRUE,High Season,2079,2079,0
RES-10005,GST-6459,45652,45658,45659,RT_STD,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,1865.33,335.76,1529.57,1,2,1,OK,,PASS,1865.33,335.76,1529.57,Wednesday,FALSE,TRUE,High Season,1865.33,1865.33,0
RES-10006,GST-7301,45652,45658,45659,RT_STD,RC_CORP,CH_BKG,SEG_LEI,Checked-Out,1931.16,289.67,1641.49,1,2,0,OK,,PASS,1931.16,289.67,1641.49,Wednesday,FALSE,TRUE,High Season,1931.16,1931.16,0
RES-10007,GST-7925,45652,45658,45659,RT_DLX,RC_NONREF,CH_DIR,SEG_GRP,Checked-Out,3123.75,0,3123.75,1,1,0,OK,,PASS,3123.75,0,3123.75,Wednesday,FALSE,TRUE,High Season,3123.75,3123.75,0
RES-10008,GST-8814,45642,45658,45659,RT_STD,RC_NONREF,CH_DIR,SEG_GRP,Checked-Out,1963.5,0,1963.5,1,1,0,OK,,PASS,1963.5,0,1963.5,Wednesday,FALSE,TRUE,High Season,1963.5,1963.5,0
RES-10009,GST-7139,45650,45658,45660,RT_DLX,RC_PROMO,CH_WLK,SEG_LEI,Checked-Out,6615,0,6615,1,1,2,OK,,PASS,6615,0,6615,Wednesday,FALSE,TRUE,High Season,6615,6615,0
RES-10010,GST-7083,45627,45658,45659,RT_DLX,RC_PROMO,CH_BKG,SEG_GRP,Checked-Out,3142.12,471.32,2670.8,1,2,0,OK,,PASS,3142.12,471.32,2670.8,Wednesday,FALSE,TRUE,High Season,3142.12,3142.12,0
RES-10011,GST-7671,45640,45658,45661,RT_DLX,RC_NONREF,CH_BKG,SEG_LEI,No-Show,8902.69,1335.4,7567.29,1,1,1,OK,,PASS,8902.69,1335.4,7567.29,Wednesday,FALSE,TRUE,High Season,0,0,8902.69
RES-10012,GST-6290,45624,45658,45659,RT_STD,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,1975.05,355.51,1619.54,1,2,0,OK,,PASS,1975.05,355.51,1619.54,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10013,GST-6120,45656,45658,45659,RT_STD,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,1865.33,279.8,1585.53,1,1,0,OK,,PASS,1865.33,279.8,1585.53,Wednesday,FALSE,TRUE,High Season,1865.33,1865.33,0
RES-10014,GST-6094,45644,45658,45660,RT_STD,RC_RACK,CH_BKG,SEG_LEI,Checked-Out,4389,658.35,3730.65,1,2,2,OK,,PASS,4389,658.35,3730.65,Wednesday,FALSE,TRUE,High Season,4389,4389,0
RES-10015,GST-7620,45608,45658,45661,RT_STD,RC_PROMO,CH_WLK,SEG_LEI,Checked-Out,6237,0,6237,1,2,0,OK,,PASS,6237,0,6237,Wednesday,FALSE,TRUE,High Season,6237,6237,0
RES-10016,GST-6416,45640,45658,45660,RT_STD,RC_CORP,CH_EXP,SEG_BUS,Checked-Out,3862.32,695.22,3167.1,1,1,0,OK,,PASS,3862.32,695.22,3167.1,Wednesday,FALSE,TRUE,High Season,3862.32,3862.32,0
RES-10017,GST-7932,45654,45658,45659,RT_DLX,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,3142.12,471.32,2670.8,1,1,2,OK,,PASS,3142.12,471.32,2670.8,Wednesday,FALSE,TRUE,High Season,3142.12,3142.12,0
RES-10018,GST-5105,45652,45658,45659,RT_STD,RC_NONREF,CH_DIR,SEG_LEI,Checked-Out,1963.5,0,1963.5,1,2,2,OK,,PASS,1963.5,0,1963.5,Wednesday,FALSE,TRUE,High Season,1963.5,1963.5,0
RES-10019,GST-8239,45647,45658,45659,RT_DLX,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,3142.12,565.58,2576.55,1,2,1,OK,,PASS,3142.12,565.58,2576.55,Wednesday,FALSE,TRUE,High Season,3142.12,3142.12,0
RES-10020,GST-8665,45615,45658,45659,RT_DLX,RC_RACK,CH_DIR,SEG_LEI,Checked-Out,3675,0,3675,1,1,0,OK,,PASS,3675,0,3675,Wednesday,FALSE,TRUE,High Season,3675,3675,0
RES-10021,GST-5246,45624,45658,45659,RT_STD,RC_CORP,CH_EXP,SEG_LEI,Checked-Out,1931.16,347.61,1583.55,1,1,0,OK,,PASS,1931.16,347.61,1583.55,Wednesday,FALSE,TRUE,High Season,1931.16,1931.16,0
RES-10022,GST-8820,45649,45658,45660,RT_STD,RC_PROMO,CH_EXP,SEG_GRP,Checked-Out,3950.1,711.02,3239.08,1,2,0,OK,,PASS,3950.1,711.02,3239.08,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10023,GST-6289,45645,45658,45660,RT_STD,RC_CORP,CH_BKG,SEG_GRP,Checked-Out,3862.32,579.35,3282.97,1,2,0,OK,,PASS,3862.32,579.35,3282.97,Wednesday,FALSE,TRUE,High Season,3862.32,3862.32,0
RES-10024,GST-5100,45640,45658,45660,RT_SUT,RC_PROMO,CH_EXP,SEG_TRA,Checked-Out,10773,1939.14,8833.86,1,2,0,OK,,PASS,10773,1939.14,8833.86,Wednesday,FALSE,TRUE,High Season,10773,10773,0
RES-10025,GST-6281,45612,45658,45659,RT_STD,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,2079,0,2079,1,2,0,OK,,PASS,2079,0,2079,Wednesday,FALSE,TRUE,High Season,2079,2079,0
RES-10026,GST-8776,45652,45658,45660,RT_STD,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,3950.1,711.02,3239.08,1,2,0,OK,,PASS,3950.1,711.02,3239.08,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10027,GST-6408,45648,45658,45660,RT_DLX,RC_RACK,CH_EXP,SEG_LEI,Checked-Out,6982.5,1256.85,5725.65,1,1,0,OK,,PASS,6982.5,1256.85,5725.65,Wednesday,FALSE,TRUE,High Season,6982.5,6982.5,0
RES-10028,GST-6445,45611,45658,45661,RT_DLX,RC_NONREF,CH_COR,SEG_LEI,Checked-Out,9371.25,937.12,8434.13,1,2,0,OK,,PASS,9371.25,937.12,8434.13,Wednesday,FALSE,TRUE,High Season,9371.25,9371.25,0
RES-10029,GST-5410,45657,45658,45660,RT_DLX,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,5935.12,1068.32,4866.81,1,2,0,OK,,PASS,5935.12,1068.32,4866.81,Wednesday,FALSE,TRUE,High Season,5935.12,5935.12,0
RES-10030,GST-7641,45639,45658,45659,RT_STD,RC_PROMO,CH_COR,SEG_GRP,Checked-Out,2079,207.9,1871.1,1,3,0,OK,,PASS,2079,207.9,1871.1,Wednesday,FALSE,TRUE,High Season,2079,2079,0
RES-10031,GST-7892,45631,45658,45659,RT_STD,RC_CORP,CH_BKG,SEG_BUS,Checked-Out,1931.16,289.67,1641.49,1,2,1,OK,,PASS,1931.16,289.67,1641.49,Wednesday,FALSE,TRUE,High Season,1931.16,1931.16,0
RES-10032,GST-5762,45641,45658,45661,RT_SUT,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,15261.75,2289.26,12972.49,1,2,0,OK,,PASS,15261.75,2289.26,12972.49,Wednesday,FALSE,TRUE,High Season,15261.75,15261.75,0
RES-10033,GST-5856,45649,45658,45660,RT_STD,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,3730.65,559.6,3171.05,1,2,0,OK,,PASS,3730.65,559.6,3171.05,Wednesday,FALSE,TRUE,High Season,3730.65,3730.65,0
RES-10034,GST-7015,45622,45658,45659,RT_SUT,RC_PROMO,CH_EXP,SEG_GRP,Checked-Out,5386.5,969.57,4416.93,1,1,1,OK,,PASS,5386.5,969.57,4416.93,Wednesday,FALSE,TRUE,High Season,5386.5,5386.5,0
