date,total_capacity,rooms_out_of_order,rooms_available_for_sale
2025-01-01,150,0,150
2025-01-02,150,0,150
2025-01-03,150,1,149
2025-01-04,150,0,150
2025-01-05,150,0,150
2025-01-06,150,0,150
2025-01-07,150,3,147
2025-01-08,150,0,150
2025-01-09,150,2,148
2025-01-10,150,0,150
2025-01-11,150,0,150
2025-01-12,150,0,150
2025-01-13,150,0,150
2025-01-14,150,0,150
2025-01-15,150,0,150
2025-01-16,150,0,150
2025-01-17,150,0,150
2025-01-18,150,0,150
2025-01-19,150,0,150
2025-01-20,150,2,148
2025-01-21,150,1,149
2025-01-22,150,0,150
2025-01-23,150,0,150
2025-01-24,150,1,149
2025-01-25,150,0,150
2025-01-26,150,0,150
2025-01-27,150,0,150
2025-01-28,150,0,150
2025-01-29,150,0,150
2025-01-30,150,0,150
2025-01-31,150,0,150
2025-02-01,150,1,149
2025-02-02,150,0,150
2025-02-03,150,0,150
2025-02-04,150,0,150
2025-02-05,150,0,150
2025-02-06,150,1,149
2025-02-07,150,0,150
2025-02-08,150,1,149
2025-02-09,150,2,148
2025-02-10,150,0,150
2025-02-11,150,1,149
2025-02-12,150,0,150
2025-02-13,150,0,150
2025-02-14,150,0,150
2025-02-15,150,0,150
2025-02-16,150,0,150
2025-02-17,150,0,150
2025-02-18,150,0,150
2025-02-19,150,4,146
2025-02-20,150,2,148
2025-02-21,150,0,150
2025-02-22,150,0,150
2025-02-23,150,2,148
2025-02-24,150,0,150
2025-02-25,150,0,150
2025-02-26,150,0,150
2025-02-27,150,0,150
2025-02-28,150,0,150
2025-03-01,150,1,149
2025-03-02,150,0,150
2025-03-03,150,0,150
2025-03-04,150,1,149
2025-03-05,150,0,150
2025-03-06,150,0,150
2025-03-07,150,0,150
2025-03-08,150,4,146
2025-03-09,150,0,150
2025-03-10,150,2,148
2025-03-11,150,0,150
2025-03-12,150,0,150
2025-03-13,150,0,150
2025-03-14,150,0,150
2025-03-15,150,0,150
2025-03-16,150,0,150
2025-03-17,150,0,150
2025-03-18,150,0,150
2025-03-19,150,0,150
2025-03-20,150,0,150
2025-03-21,150,0,150
2025-03-22,150,0,150
2025-03-23,150,0,150
2025-03-24,150,0,150
2025-03-25,150,2,148
2025-03-26,150,0,150
2025-03-27,150,0,150
2025-03-28,150,2,148
2025-03-29,150,0,150
2025-03-30,150,3,147
2025-03-31,150,0,150
